session_test_id,id,age,gender,HAtiempo,HAuser,HAsatisfaction,Difficulty,Realism,feedback,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",training,MildCausal,100,52695,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",training,StrongCausal,100,52695,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",training,Enabled,100,52695,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",training,reference,100,52695,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",training,StrongNon,100,52695,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",training,MildNon,100,52695,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",office30,StrongCausal,74,3447706,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",office30,reference,89,3447706,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",office30,StrongNon,47,3447706,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",office30,MildNon,86,3447706,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",office30,Enabled,66,3447706,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",office30,MildCausal,80,3447706,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",restaurant30,MildCausal,100,37818,
mushra_microson_GN5,553123,65,male,less1,almostalways,verysatisfied,neutral,quiterealistic,"me ha gustado mucho gracias",restaurant30,reference,100,37818,
