session_test_id,id,age,gender,HAtiempo,HAuser,HAsatisfaction,Difficulty,Realism,feedback,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,training,StrongNon,48,8057,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,training,MildNon,44,8057,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,training,reference,100,8057,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,training,MildCausal,100,8057,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,training,Enabled,100,8057,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,training,StrongCausal,100,8057,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,restaurant0,Enabled,51,28953,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,restaurant0,reference,50,28953,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,restaurant0,MildNon,51,28953,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,restaurant0,StrongNon,49,28953,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,restaurant0,StrongCausal,48,28953,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,restaurant0,MildCausal,45,28953,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,party0,MildNon,66,29024,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,party0,StrongNon,44,29024,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,party0,Enabled,76,29024,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,party0,reference,68,29024,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,party0,StrongCausal,45,29024,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,party0,MildCausal,58,29024,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,party30,MildNon,57,21483,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,party30,StrongCausal,59,21483,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,party30,Enabled,64,21483,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,party30,StrongNon,78,21483,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,party30,MildCausal,42,21483,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,party30,reference,80,21483,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,office0,MildNon,71,27728,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,office0,StrongNon,68,27728,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,office0,StrongCausal,66,27728,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,office0,Enabled,68,27728,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,office0,reference,48,27728,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,office0,MildCausal,65,27728,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,office30,reference,69,25743,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,office30,MildNon,71,25743,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,office30,Enabled,86,25743,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,office30,MildCausal,52,25743,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,office30,StrongCausal,54,25743,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,office30,StrongNon,70,25743,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,restaurant30,MildNon,72,17765,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,restaurant30,StrongCausal,50,17765,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,restaurant30,MildCausal,72,17765,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,restaurant30,StrongNon,72,17765,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,restaurant30,Enabled,67,17765,
mushra_microson_GN5_M,99,65,female,less1,always,verysatisfied,verydifficult,norealist,,restaurant30,reference,66,17765,
